station_id,bike_id,timestamp,number_of_bikes_available,number_of_bikes_in_use,number_of_bikes_not_in_use,maintenance_needed,demand,weather_rainy,weather_sunny,events_none,events_sports_event,holidays_public_holiday
44,876,2023-01-03 07:00:00,28,18,2,0,22,True,False,True,False,False
8,158,2023-01-03 08:00:00,9,6,4,0,47,False,False,True,False,False
47,785,2023-01-03 09:00:00,2,3,9,0,84,False,False,True,False,False
35,827,2023-01-03 10:00:00,0,5,6,0,14,True,False,False,True,True
14,394,2023-01-03 11:00:00,11,18,6,0,50,False,False,False,False,True
17,867,2023-01-03 12:00:00,22,0,8,0,23,False,False,False,True,True
36,852,2023-01-03 13:00:00,14,15,7,0,19,True,False,True,False,True
50,512,2023-01-03 14:00:00,14,10,3,0,55,False,True,False,False,True
40,914,2023-01-03 15:00:00,20,21,4,0,37,False,True,True,False,True
4,45,2023-01-03 16:00:00,13,3,4,1,24,True,False,False,True,False
2,108,2023-01-03 17:00:00,25,17,9,0,85,False,True,True,False,False
6,219,2023-01-03 18:00:00,30,22,1,0,51,False,True,False,True,True
42,443,2023-01-03 19:00:00,6,30,6,0,50,True,False,True,False,False
4,830,2023-01-03 20:00:00,16,25,6,0,46,False,False,True,False,True
29,315,2023-01-03 21:00:00,23,28,8,0,67,True,False,True,False,True
18,177,2023-01-03 22:00:00,18,27,8,1,79,True,False,False,True,False
26,228,2023-01-03 23:00:00,6,30,3,0,63,False,True,False,True,False
44,703,2023-01-04 00:00:00,27,28,4,0,42,True,False,False,True,True
34,983,2023-01-04 01:00:00,2,4,6,0,70,False,True,False,True,True
10,672,2023-01-04 02:00:00,29,21,9,0,87,True,False,False,True,False
36,906,2023-01-04 03:00:00,2,5,6,0,97,False,False,False,False,False
14,267,2023-01-04 04:00:00,25,29,10,0,56,False,True,True,False,False
31,870,2023-01-04 05:00:00,24,24,9,0,38,True,False,False,True,True
48,838,2023-01-04 06:00:00,28,27,10,0,28,False,True,False,False,True
15,379,2023-01-04 07:00:00,17,1,7,0,25,True,False,False,False,True
8,489,2023-01-04 08:00:00,29,11,7,0,13,True,False,True,False,True
14,702,2023-01-04 09:00:00,19,21,1,0,63,True,False,True,False,True
23,687,2023-01-04 10:00:00,21,8,8,0,46,False,True,True,False,False
40,290,2023-01-04 11:00:00,13,27,10,0,19,False,True,False,True,True
21,996,2023-01-04 12:00:00,2,19,3,0,6,False,False,True,False,True
16,357,2023-01-04 13:00:00,27,28,0,0,81,False,False,True,False,True
45,657,2023-01-04 14:00:00,25,11,0,0,73,False,False,True,False,False
18,744,2023-01-04 15:00:00,29,28,4,0,93,False,False,False,False,True
47,872,2023-01-04 16:00:00,25,12,6,0,66,True,False,False,True,False
24,950,2023-01-04 17:00:00,6,26,4,0,52,False,True,True,False,True
26,204,2023-01-04 18:00:00,6,21,2,1,64,True,False,False,False,True
25,213,2023-01-04 19:00:00,30,22,10,0,29,False,True,False,True,False
45,552,2023-01-04 20:00:00,4,16,6,0,65,False,True,True,False,False
41,787,2023-01-04 21:00:00,2,4,0,0,14,True,False,False,False,True
29,323,2023-01-04 22:00:00,17,19,10,1,74,True,False,False,True,False
15,594,2023-01-04 23:00:00,14,12,0,0,95,False,True,True,False,False
45,181,2023-01-05 00:00:00,30,28,1,0,69,False,False,True,False,False
1,499,2023-01-05 01:00:00,19,12,0,0,69,False,False,False,False,True
25,320,2023-01-05 02:00:00,13,9,8,0,91,False,True,True,False,True
7,83,2023-01-05 03:00:00,30,14,3,0,56,True,False,False,False,True
9,303,2023-01-05 04:00:00,28,14,6,0,24,True,False,False,False,True
24,262,2023-01-05 05:00:00,3,17,4,1,22,False,True,False,False,False
1,784,2023-01-05 06:00:00,26,17,6,0,11,True,False,False,True,True
44,200,2023-01-05 07:00:00,23,1,6,0,47,False,True,False,False,False
8,240,2023-01-05 08:00:00,7,22,0,0,9,False,True,False,True,True
24,914,2023-01-05 09:00:00,28,10,0,0,16,False,True,True,False,True
11,692,2023-01-05 10:00:00,20,12,10,0,51,True,False,False,True,False
17,944,2023-01-05 11:00:00,12,10,2,0,1,False,False,False,False,True
8,683,2023-01-05 12:00:00,21,3,9,0,59,False,True,True,False,True
35,295,2023-01-05 13:00:00,7,14,1,0,56,True,False,False,False,True
35,512,2023-01-05 14:00:00,14,21,6,0,80,False,False,False,False,False
33,689,2023-01-05 15:00:00,16,22,2,1,72,False,True,True,False,True
5,881,2023-01-05 16:00:00,4,24,6,1,46,False,False,False,False,False
42,396,2023-01-05 17:00:00,19,10,8,0,70,True,False,False,True,False
39,749,2023-01-05 18:00:00,3,17,10,0,12,False,False,True,False,True
41,138,2023-01-05 19:00:00,10,15,0,0,73,False,False,True,False,True
28,839,2023-01-05 20:00:00,17,9,2,0,21,True,False,True,False,True
7,878,2023-01-05 21:00:00,9,11,10,0,27,False,True,False,False,True
9,823,2023-01-05 22:00:00,16,12,5,0,54,True,False,False,False,False
8,129,2023-01-05 23:00:00,29,8,8,0,49,True,False,True,False,False
12,49,2023-01-06 00:00:00,14,26,4,0,77,False,True,False,True,True
34,676,2023-01-06 01:00:00,5,20,2,0,18,False,True,False,False,True
33,789,2023-01-06 02:00:00,22,12,7,0,0,True,False,False,False,True
48,293,2023-01-06 03:00:00,20,5,4,0,90,False,True,False,False,False
23,628,2023-01-06 04:00:00,15,5,5,0,67,False,True,False,True,True
24,536,2023-01-06 05:00:00,14,10,1,0,55,True,False,False,False,True
37,311,2023-01-06 06:00:00,7,18,3,0,87,True,False,False,False,True
35,537,2023-01-06 07:00:00,8,26,0,0,13,True,False,False,True,False
44,903,2023-01-06 08:00:00,10,10,3,0,63,True,False,False,True,False
40,639,2023-01-06 09:00:00,26,9,0,0,100,False,False,False,False,True
22,234,2023-01-06 10:00:00,1,22,3,1,86,False,False,True,False,False
27,209,2023-01-06 11:00:00,26,14,1,0,68,False,True,True,False,True
35,605,2023-01-06 12:00:00,12,12,5,0,83,False,False,False,True,True
1,94,2023-01-06 13:00:00,3,22,5,0,21,False,False,False,False,False
35,327,2023-01-06 14:00:00,26,7,7,0,43,False,False,False,True,True
37,225,2023-01-06 15:00:00,8,4,8,0,48,False,True,False,True,False
47,967,2023-01-06 16:00:00,4,1,7,0,98,False,False,True,False,False
14,890,2023-01-06 17:00:00,18,15,0,0,35,True,False,False,True,True
3,792,2023-01-06 18:00:00,21,30,2,0,68,True,False,False,True,True
1,11,2023-01-06 19:00:00,30,12,5,0,96,False,True,False,False,True
5,329,2023-01-06 20:00:00,2,18,0,0,87,False,True,False,False,True
26,12,2023-01-06 21:00:00,29,8,7,0,33,False,True,False,True,True
14,35,2023-01-06 22:00:00,20,14,5,0,36,False,False,False,True,False
39,447,2023-01-06 23:00:00,2,5,0,1,88,False,True,False,False,False
27,452,2023-01-07 00:00:00,5,7,9,0,50,False,True,True,False,False
9,740,2023-01-07 01:00:00,27,23,1,0,36,False,True,False,False,False
15,220,2023-01-07 02:00:00,9,13,5,0,24,True,False,False,False,False
15,441,2023-01-07 03:00:00,4,4,9,0,85,False,True,False,False,True
26,653,2023-01-07 04:00:00,29,16,7,0,4,True,False,False,False,False
42,535,2023-01-07 05:00:00,24,21,4,0,7,True,False,False,False,True
13,595,2023-01-07 06:00:00,2,6,0,0,52,False,True,True,False,True
32,229,2023-01-07 07:00:00,21,8,9,0,26,False,True,False,False,False
39,935,2023-01-07 08:00:00,23,15,1,0,60,False,False,False,False,False
49,344,2023-01-07 09:00:00,6,17,3,0,98,False,True,True,False,False
32,80,2023-01-07 10:00:00,21,27,3,0,64,False,True,False,True,True
4,353,2023-01-07 11:00:00,29,12,6,0,83,False,True,True,False,True
30,396,2023-01-07 12:00:00,30,17,1,0,70,False,True,False,False,True
37,290,2023-01-07 13:00:00,17,9,6,0,44,False,True,False,True,False
23,455,2023-01-07 14:00:00,30,0,6,0,2,False,True,True,False,True
39,843,2023-01-07 15:00:00,22,20,6,0,60,False,False,False,True,True
45,671,2023-01-07 16:00:00,7,17,2,0,49,False,False,True,False,False
15,989,2023-01-07 17:00:00,0,18,5,0,47,False,True,True,False,True
43,128,2023-01-07 18:00:00,30,1,5,1,72,False,False,False,True,True
29,702,2023-01-07 19:00:00,24,26,3,0,46,True,False,False,True,False
36,909,2023-01-07 20:00:00,3,3,0,0,13,False,False,False,True,True
13,543,2023-01-07 21:00:00,23,10,8,0,18,True,False,False,True,False
32,898,2023-01-07 22:00:00,30,2,1,0,90,False,True,False,False,False
7,359,2023-01-07 23:00:00,25,8,8,0,61,True,False,True,False,True
22,527,2023-01-08 00:00:00,6,9,7,0,5,False,True,False,False,True
28,313,2023-01-08 01:00:00,13,27,0,0,6,False,False,True,False,False
2,75,2023-01-08 02:00:00,12,1,10,0,100,True,False,False,False,True
42,546,2023-01-08 03:00:00,9,6,6,0,89,True,False,False,False,True
45,871,2023-01-08 04:00:00,22,14,9,0,12,True,False,True,False,False
6,196,2023-01-08 05:00:00,17,26,2,0,100,False,True,False,False,False
28,843,2023-01-08 06:00:00,0,29,9,0,45,False,True,False,True,False
28,29,2023-01-08 07:00:00,3,18,9,0,32,False,False,False,True,False
44,706,2023-01-08 08:00:00,27,9,8,0,96,False,False,False,False,False
44,16,2023-01-08 09:00:00,15,23,4,0,40,False,True,False,False,False
20,423,2023-01-08 10:00:00,15,19,10,0,72,False,False,True,False,True
30,589,2023-01-08 11:00:00,17,13,2,0,78,True,False,True,False,True
11,805,2023-01-08 12:00:00,7,3,7,0,68,True,False,False,False,False
28,593,2023-01-08 13:00:00,9,24,2,0,28,True,False,True,False,False
25,405,2023-01-08 14:00:00,15,10,6,0,6,False,False,False,True,False
39,940,2023-01-08 15:00:00,22,2,6,0,94,True,False,False,True,False
33,636,2023-01-08 16:00:00,23,22,6,0,53,True,False,False,True,False
1,531,2023-01-08 17:00:00,10,16,0,0,97,False,True,True,False,True
27,967,2023-01-08 18:00:00,5,6,10,1,10,False,True,True,False,False
13,614,2023-01-08 19:00:00,0,25,4,0,41,False,False,True,False,True
41,904,2023-01-08 20:00:00,29,10,10,0,82,False,True,True,False,False
3,77,2023-01-08 21:00:00,28,17,0,0,4,False,False,False,False,True
39,229,2023-01-08 22:00:00,28,27,6,0,86,False,False,False,False,True
6,962,2023-01-08 23:00:00,11,13,7,0,46,False,True,False,False,False
8,297,2023-01-09 00:00:00,24,13,6,0,1,False,True,False,False,False
27,510,2023-01-09 01:00:00,5,5,0,1,42,False,False,False,True,False
9,715,2023-01-09 02:00:00,27,30,2,0,3,False,False,True,False,True
37,984,2023-01-09 03:00:00,12,28,9,0,80,False,False,False,True,False
33,966,2023-01-09 04:00:00,25,8,2,0,94,True,False,True,False,False
42,573,2023-01-09 05:00:00,16,21,6,0,62,True,False,False,False,True
44,538,2023-01-09 06:00:00,0,2,3,0,58,False,True,False,True,True
24,583,2023-01-09 07:00:00,7,16,2,0,29,True,False,True,False,False
15,615,2023-01-09 08:00:00,21,27,5,0,1,True,False,False,False,False
32,979,2023-01-09 09:00:00,7,11,9,0,87,False,False,True,False,False
32,326,2023-01-09 10:00:00,23,30,5,0,73,True,False,True,False,False
24,363,2023-01-09 11:00:00,30,3,9,0,91,False,True,False,False,False
41,669,2023-01-09 12:00:00,10,19,4,1,42,True,False,False,True,False
49,875,2023-01-09 13:00:00,13,15,5,0,95,True,False,True,False,False
49,359,2023-01-09 14:00:00,23,28,2,1,96,True,False,False,False,True
12,706,2023-01-09 15:00:00,9,23,9,0,17,False,True,True,False,True
39,787,2023-01-09 16:00:00,14,9,4,1,23,False,True,True,False,True
2,324,2023-01-09 17:00:00,6,25,8,0,36,False,False,True,False,True
3,698,2023-01-09 18:00:00,6,29,3,1,29,True,False,False,True,False
49,326,2023-01-09 19:00:00,9,28,10,0,68,False,False,False,True,False
37,625,2023-01-09 20:00:00,3,6,1,0,58,False,False,False,True,True
49,825,2023-01-09 21:00:00,24,9,4,0,22,False,True,False,True,True
17,165,2023-01-09 22:00:00,27,6,2,0,29,False,False,False,False,False
49,573,2023-01-09 23:00:00,17,22,2,0,67,True,False,False,True,False
2,604,2023-01-10 00:00:00,26,27,3,1,40,False,False,True,False,True
2,798,2023-01-10 01:00:00,24,17,3,0,50,False,True,False,False,True
28,455,2023-01-10 02:00:00,9,8,4,0,87,False,True,True,False,True
23,969,2023-01-10 03:00:00,18,21,6,1,66,False,True,False,True,True
37,153,2023-01-10 04:00:00,13,17,3,0,14,True,False,True,False,False
32,737,2023-01-10 05:00:00,12,16,10,1,55,False,False,True,False,False
33,127,2023-01-10 06:00:00,14,10,6,1,64,True,False,True,False,False
1,193,2023-01-10 07:00:00,15,0,8,0,73,False,True,True,False,True
19,627,2023-01-10 08:00:00,1,16,2,0,89,True,False,False,True,False
2,774,2023-01-10 09:00:00,28,3,4,1,54,False,True,True,False,True
44,530,2023-01-10 10:00:00,3,3,3,0,75,True,False,True,False,False
26,10,2023-01-10 11:00:00,20,13,8,0,64,True,False,True,False,True
32,92,2023-01-10 12:00:00,17,27,4,0,1,False,False,True,False,True
6,139,2023-01-10 13:00:00,28,8,9,0,10,False,False,False,True,False
32,481,2023-01-10 14:00:00,30,12,1,0,75,False,True,True,False,False
4,449,2023-01-10 15:00:00,16,27,9,0,91,False,False,False,False,False
11,333,2023-01-10 16:00:00,9,27,0,0,96,False,False,False,False,True
17,869,2023-01-10 17:00:00,26,15,6,0,41,True,False,True,False,True
38,340,2023-01-10 18:00:00,20,0,10,0,2,False,True,True,False,True
24,961,2023-01-10 19:00:00,8,2,0,0,40,True,False,False,True,False
5,52,2023-01-10 20:00:00,14,18,7,0,48,True,False,False,False,True
34,707,2023-01-10 21:00:00,27,7,8,0,82,False,False,False,True,False
6,466,2023-01-10 22:00:00,11,17,6,0,81,False,False,True,False,True
22,718,2023-01-10 23:00:00,30,5,8,0,36,False,True,False,False,False
11,799,2023-01-11 00:00:00,20,26,9,0,91,False,False,False,False,True
48,475,2023-01-11 01:00:00,27,19,5,0,94,True,False,False,True,False
16,401,2023-01-11 02:00:00,26,28,6,0,6,False,False,True,False,False
33,439,2023-01-11 03:00:00,25,25,2,0,37,False,True,False,False,True
9,878,2023-01-11 04:00:00,8,5,8,0,57,False,True,False,True,True
6,605,2023-01-11 05:00:00,13,28,2,0,4,True,False,False,False,True
16,932,2023-01-11 06:00:00,12,4,5,0,60,True,False,True,False,True
29,997,2023-01-11 07:00:00,27,11,3,0,82,False,False,True,False,False
3,922,2023-01-11 08:00:00,25,8,8,0,76,False,True,True,False,True
20,821,2023-01-11 09:00:00,5,8,0,0,38,True,False,False,True,False
36,657,2023-01-11 10:00:00,18,16,8,1,27,False,False,True,False,True
19,598,2023-01-11 11:00:00,3,18,3,0,56,False,False,False,True,True
26,509,2023-01-11 12:00:00,19,16,9,0,1,False,False,False,False,False
3,153,2023-01-11 13:00:00,16,21,4,0,69,True,False,True,False,True
19,514,2023-01-11 14:00:00,18,15,10,0,78,True,False,False,True,True
20,503,2023-01-11 15:00:00,2,11,0,0,27,False,False,False,True,True
32,854,2023-01-11 16:00:00,28,2,0,0,36,False,False,False,True,True
7,901,2023-01-11 17:00:00,13,13,5,1,88,True,False,True,False,True
41,772,2023-01-11 18:00:00,16,16,9,0,95,False,True,False,True,True
33,676,2023-01-11 19:00:00,12,21,0,0,54,False,False,True,False,False
40,6,2023-01-11 20:00:00,8,15,1,0,100,False,True,True,False,False
39,500,2023-01-11 21:00:00,26,20,2,0,99,False,True,False,False,True
18,661,2023-01-11 22:00:00,0,11,6,0,93,True,False,False,False,False
40,717,2023-01-11 23:00:00,24,27,1,0,87,True,False,True,False,True
1,118,2023-01-12 00:00:00,16,23,4,0,81,False,True,False,False,True
11,485,2023-01-12 01:00:00,15,29,8,0,0,True,False,False,True,True
28,601,2023-01-12 02:00:00,17,1,9,0,2,False,True,True,False,False
25,666,2023-01-12 03:00:00,1,7,7,0,70,False,True,False,False,False
50,951,2023-01-12 04:00:00,13,11,7,0,96,True,False,False,True,True
23,679,2023-01-12 05:00:00,21,20,10,0,84,True,False,True,False,True
31,468,2023-01-12 06:00:00,22,15,1,0,13,False,False,False,True,True
30,161,2023-01-12 07:00:00,26,7,0,0,47,True,False,True,False,False
42,270,2023-01-12 08:00:00,16,27,8,0,36,False,False,False,False,False
35,56,2023-01-12 09:00:00,2,15,9,0,2,True,False,False,True,True
7,228,2023-01-12 10:00:00,1,9,3,0,48,True,False,False,False,True
16,849,2023-01-12 11:00:00,7,19,8,0,100,True,False,False,True,True
26,149,2023-01-12 12:00:00,24,14,10,0,55,True,False,False,True,True
48,46,2023-01-12 13:00:00,28,3,10,1,88,False,True,False,True,False
49,144,2023-01-12 14:00:00,1,25,6,0,59,True,False,False,True,False
2,750,2023-01-12 15:00:00,1,30,5,0,96,False,True,False,False,False
1,784,2023-01-12 16:00:00,25,14,9,0,12,True,False,False,True,False
48,632,2023-01-12 17:00:00,30,3,8,1,52,True,False,False,False,True
12,340,2023-01-12 18:00:00,8,29,9,1,49,False,True,False,True,False
5,413,2023-01-12 19:00:00,29,10,3,0,96,True,False,True,False,True
37,732,2023-01-12 20:00:00,19,30,0,0,92,False,False,True,False,False
32,520,2023-01-12 21:00:00,20,5,4,0,18,False,False,False,True,False
9,344,2023-01-12 22:00:00,28,3,5,0,25,True,False,True,False,False
41,387,2023-01-12 23:00:00,26,8,5,0,52,False,False,False,True,True
35,473,2023-01-13 00:00:00,24,8,0,0,56,False,False,False,False,False
19,275,2023-01-13 01:00:00,5,2,6,0,37,False,False,True,False,False
48,353,2023-01-13 02:00:00,25,22,7,0,8,False,False,False,True,False
16,66,2023-01-13 03:00:00,11,27,4,0,45,False,True,False,True,False
3,79,2023-01-13 04:00:00,24,4,1,0,93,False,True,False,False,False
20,598,2023-01-13 05:00:00,8,14,1,0,85,False,True,False,False,False
24,636,2023-01-13 06:00:00,6,27,10,0,3,False,False,False,True,True
33,202,2023-01-13 07:00:00,29,8,4,0,70,False,False,False,True,True
24,978,2023-01-13 08:00:00,11,1,6,0,81,False,True,False,True,True
11,662,2023-01-13 09:00:00,25,2,6,0,49,False,False,False,True,True
49,558,2023-01-13 10:00:00,24,25,3,0,69,False,True,False,True,False
8,113,2023-01-13 11:00:00,4,20,10,0,92,False,True,False,True,True
36,91,2023-01-13 12:00:00,15,11,2,0,4,False,True,False,False,True
38,141,2023-01-13 13:00:00,4,15,8,0,69,False,False,True,False,True
40,289,2023-01-13 14:00:00,11,4,6,1,33,False,True,False,True,False
20,901,2023-01-13 15:00:00,23,9,1,0,97,True,False,False,True,False
35,730,2023-01-13 16:00:00,25,27,0,0,64,False,True,False,False,False
48,589,2023-01-13 17:00:00,19,14,10,0,17,False,True,True,False,True
25,411,2023-01-13 18:00:00,8,13,1,0,26,True,False,False,False,True
35,377,2023-01-13 19:00:00,22,13,2,0,9,False,False,False,False,False
25,384,2023-01-13 20:00:00,6,22,4,0,1,False,True,False,True,False
29,846,2023-01-13 21:00:00,28,12,2,0,82,True,False,False,True,True
18,152,2023-01-13 22:00:00,30,15,9,0,90,False,False,False,False,True
46,835,2023-01-13 23:00:00,18,29,8,0,60,True,False,False,True,False
18,751,2023-01-14 00:00:00,19,7,9,0,21,False,True,False,True,False
2,627,2023-01-14 01:00:00,22,7,3,1,9,True,False,False,True,True
35,319,2023-01-14 02:00:00,10,29,6,1,58,False,False,True,False,False
16,369,2023-01-14 03:00:00,26,16,3,0,90,False,True,True,False,False
41,606,2023-01-14 04:00:00,29,29,2,0,11,True,False,False,True,False
36,995,2023-01-14 05:00:00,20,16,9,0,62,False,False,False,False,False
33,560,2023-01-14 06:00:00,11,2,0,0,14,False,False,True,False,False
4,703,2023-01-14 07:00:00,2,0,8,1,62,False,True,False,False,True
33,462,2023-01-14 08:00:00,16,16,10,0,64,False,True,False,True,True
14,12,2023-01-14 09:00:00,6,25,0,1,37,False,True,False,False,False
21,156,2023-01-14 10:00:00,21,23,10,0,87,False,True,False,False,True
48,684,2023-01-14 11:00:00,9,15,0,0,5,True,False,True,False,True
20,477,2023-01-14 12:00:00,30,16,0,0,92,False,False,False,False,False
8,939,2023-01-14 13:00:00,22,24,4,0,5,False,True,False,False,False
7,401,2023-01-14 14:00:00,14,1,6,0,37,False,True,True,False,True
3,808,2023-01-14 15:00:00,29,24,6,0,47,False,True,False,True,True
17,177,2023-01-14 16:00:00,1,13,9,0,14,True,False,False,False,True
33,341,2023-01-14 17:00:00,12,6,0,0,71,False,False,False,True,False
48,57,2023-01-14 18:00:00,27,24,5,1,28,False,False,False,True,False
12,855,2023-01-14 19:00:00,3,18,8,0,1,False,True,False,True,True
22,852,2023-01-14 20:00:00,17,0,5,0,74,False,False,True,False,False
22,448,2023-01-14 21:00:00,23,16,3,0,72,True,False,False,True,True
46,203,2023-01-14 22:00:00,22,26,9,1,15,False,False,False,False,False
30,697,2023-01-14 23:00:00,0,30,8,1,57,False,True,False,True,False
38,633,2023-01-15 00:00:00,1,9,2,0,87,False,False,False,True,False
38,738,2023-01-15 01:00:00,1,5,9,0,33,True,False,False,True,True
45,202,2023-01-15 02:00:00,3,6,3,0,42,True,False,False,False,False
8,330,2023-01-15 03:00:00,2,24,3,0,23,False,False,False,True,False
27,363,2023-01-15 04:00:00,16,5,3,1,24,False,False,False,True,False
27,892,2023-01-15 05:00:00,27,4,5,0,40,False,True,False,True,False
34,454,2023-01-15 06:00:00,13,29,10,1,32,False,True,True,False,False
21,356,2023-01-15 07:00:00,1,1,10,0,42,False,True,False,False,True
30,216,2023-01-15 08:00:00,15,17,6,0,16,False,False,True,False,False
33,972,2023-01-15 09:00:00,10,23,8,0,6,True,False,False,False,False
28,555,2023-01-15 10:00:00,24,30,10,0,58,True,False,False,True,True
47,887,2023-01-15 11:00:00,12,16,2,1,26,False,False,False,False,False
33,23,2023-01-15 12:00:00,0,23,7,0,35,True,False,False,False,False
5,155,2023-01-15 13:00:00,24,26,7,0,18,True,False,False,False,False
48,186,2023-01-15 14:00:00,22,25,0,0,14,False,False,False,False,False
19,249,2023-01-15 15:00:00,1,26,4,0,69,True,False,True,False,True
4,749,2023-01-15 16:00:00,1,22,9,0,56,False,False,False,False,False
35,805,2023-01-15 17:00:00,20,6,4,0,99,False,True,True,False,False
49,134,2023-01-15 18:00:00,28,20,7,0,68,True,False,True,False,False
17,321,2023-01-15 19:00:00,4,18,7,0,52,False,False,False,True,False
44,390,2023-01-15 20:00:00,3,6,1,0,68,True,False,False,False,True
28,434,2023-01-15 21:00:00,11,22,2,0,1,True,False,False,True,False
30,22,2023-01-15 22:00:00,25,6,1,0,17,False,True,False,False,False
29,873,2023-01-15 23:00:00,25,15,0,0,31,False,False,True,False,True
46,600,2023-01-16 00:00:00,28,11,1,0,28,False,True,True,False,False
6,665,2023-01-16 01:00:00,27,14,9,0,48,True,False,True,False,True
35,125,2023-01-16 02:00:00,2,14,5,0,83,True,False,False,False,False
41,79,2023-01-16 03:00:00,19,10,0,1,82,True,False,False,False,True
37,858,2023-01-16 04:00:00,9,1,5,0,79,False,False,False,False,True
24,968,2023-01-16 05:00:00,19,2,0,1,74,False,True,False,False,True
29,51,2023-01-16 06:00:00,17,18,1,0,59,False,False,False,False,True
49,728,2023-01-16 07:00:00,20,19,7,0,27,True,False,False,True,False
46,176,2023-01-16 08:00:00,30,27,5,0,85,False,True,False,False,False
31,870,2023-01-16 09:00:00,20,24,8,0,26,True,False,False,True,True
35,253,2023-01-16 10:00:00,20,25,0,0,80,False,True,False,False,True
33,966,2023-01-16 11:00:00,26,14,4,0,7,False,False,False,False,True
21,246,2023-01-16 12:00:00,30,15,6,0,71,False,False,False,False,False
